Provinsi,Kota/Kabupaten,Lokasi SPKLU,Alamat,Latitude,Longitude,google maps,Jenis Konektor
Sulawesi Utara,Minahasa Selatan,SPKLU PLN ULP MOTOLING,"Jl. Sam Ratulangi, Motoling Dua, Kabupaten Minahasa Selatan, Sulawesi Utara",1.038630123,124.4740412,https://maps.app.goo.gl/1eKZahqvRGey7ATg7,AC TYPE 2
Sulawesi Utara,Minahasa Tenggara,SPKLU PLN ULP RATAHAN,"JI. SKDP Blk. B, Wawali Pasan, Kec. Ratahan, Kabupaten Minahasa Tenggara, Sulawesi Utara, 95994",1.038334701,124.7959386,https://maps.app.goo.gl/thMPBoz2cgAZPV267,AC TYPE 2
Sulawesi Utara,Minahasa Utara,SPKLU PLN ULP AIRMADIDI,"Jl. Raya Manado - Bitung, Sarongsong I, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara",1.428060451,124.9788461,https://maps.app.goo.gl/P4dzq4KuWUz6AdEX8,AC TYPE 2
Sulawesi Utara,Minahasa Utara,(WULING) Kumala Minahasa Utara,"Jl. Manado-Bitung, Airmadidi Atas, Airmadidi, Kab. Minahasa Utara, Sulawesi Utara 95371",1.421971231,124.9852456,https://maps.app.goo.gl/zi8fkSjvi1r7vCuM7,GB/T
Sulawesi Utara,Tomohon,SPKLU PLN ULP TOMOHON,"Jl. Raya Tomohon Kakaskasen, Talete Dua, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara",1.335732041,124.8368784,https://maps.app.goo.gl/3SS9XG9kEsNKNuAY9,AC TYPE 2
Sulawesi Utara,Tomohon,(WULING) Kumala Tomohon,"Jl. Raya Tomohon, Kel. Kakaskasen, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara 95418",1.34059199,124.8352556,https://maps.app.goo.gl/wNmCWRSMD24eBB947,GB/T
Gorontalo,Boalemo,SPKLU PLN ULP LIMBOTO (PAGUYAMAN),"Jl. Trans Sulawesi, Molombulahe, Kec. Paguyaman, Kabupaten Boalemo, Gorontalo 96261",0.6328335274,122.5711371,https://maps.app.goo.gl/F8zvEHsaFhZ1gczH9,AC TYPE 2
Gorontalo,Kota Gorontalo,SPKLU PLN UP3 GORONTALO,"Jl. Jend Sudirman No.63, Kota Gorontalo, Gorontalo 96138",0.5536615568,123.0540064,https://maps.app.goo.gl/f9Jc1m719kQxcQRu5,"AC TYPE 2, CCS2, CHADEMO"
Gorontalo,Kota Gorontalo,SPKLU ULP LIMBOTO,"Jl. A. WAHAB, Kayubulam, Kec. LIMBOTO, Kabupaten Gorontalo",0.6274176329,122.9777917,https://maps.app.goo.gl/eR58PrGNxVorzpBd7,CCS2
Gorontalo,Kota Gorontalo,SPKLU PLN ULP TELAGA,"Jl. M Thayeb Gobel, Tapa, Kec. Sipatana, Kota Gorontalo",0.5775355482,123.0476714,https://maps.app.goo.gl/XD6ZxtLmEhMAm5YH9,AC TYPE 2
Gorontalo,Kota Gorontalo,Hyundai Gorontalo (Khusus Kendaraan Hyundai),"Jl. Nani Wartabone No.36, Biawao, Kota Sel., Kota Gorontalo, Gorontalo 96134",0.5369350484,123.0602479,https://maps.app.goo.gl/X2nTQ3DbmyS4tL627,AC TYPE 2
Gorontalo,Kota Gorontalo,(WULING) Kumala Gorontalo,"Jl. Nani Wartabone, Ipilo, Kec. Kota Timur, Kota Gorontalo, Gorontalo 96134",0.5365360232,123.0605346,https://maps.app.goo.gl/NPQVPTyodZmgx1hj7,GB/T
Gorontalo,Gorontalo Utara,SPKLU ULP KWANDANG,"Jl. Jarwadi, Moluo, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo 96252",0.8398014559,122.9135963,https://maps.app.goo.gl/H4KSFDYodfQwBcsGA,AC TYPE 2
Gorontalo,Pohuwato,SPKLU ULP MARISA,"JI. Trans Sulawesi, Desa Buntulia Jaya, Kecamatan Duhiadaa, Kabupaten Pohuwato, Gorontalo 96466",0.4764975711,121.9315051,https://maps.app.goo.gl/cW7y5QWMmyRTKG427,CCS2
